English,Esperanto
about,pri
above,super
across,trans
after,post
against,kontraux
among,meze de
among,inter
around,cxirkaux
as,kiel
at,cxe
before,antaux
behind,post
below,sub
beneath,malsupre de
beneath,sub
beside,apud
between,inter
beyond,preter
but,sed
by,de
by,per
by,apud
despite,malgraux
down,suben
down,malsupren
during,dum
except,krom
for,por
for,pro
from,el
from,de
in,en
inside,en
into,en
near,proksime de
near,apud
next,sekva
of,de
on,sur
opposite,kontrauxe de
opposite,mala
out,eksteren
outside,ekster
over,super
per,po
plus,plus
round,cxirkaux
since,ekde
than,ol
through,tra
till,gxis
to,al
to,por
toward,al
under,malsupre de
under,sub
unlike,malkiel
until,gxis
up,supren
via,tra
via,per
with,kun
within,ene de
within,en
without,sen
two words,du vortoj
according to,laux
because of,pro
close to,apud
due to,pro
except for,krom
far from,for de
inside of,en
instead of,anstataux
near to,apud
next to,flanke de
next to,apud
outside of,ekster
prior to,antaux ol
three words,tri vortoj
as far as,gxis
as well as,kaj ankaux
in addition to,krom
in front of,antaux
in spite of,malgraux
on behalf of,nome de
on behalf of,en la nomo de
on top of,supre sur
this,cxi tiu
this,ci
that,tiu
these,cxi tiuj
these,cxiuj
those,tiuj
those,tiun
those,cxiuj
no,je
not,ne
and,kaj
very,tre
because,cxar
why,cxar
only,jen
only,nur
what,ke
just,ja
now,jam
here,cxi
,cxu
the,la
i,mi
me,min
you,vi
you,vin
he,li
him,lin
she,sxi
she,sxin
it,gxi
it,gxin
we,ni
we,nin
they,oni
they,one
they,ili
them,ilin
self,si
its,se
its,sin
a,unu
an,unu
this,tio
this,tion
so,do
my,mia
my,mian
your,via
your,vian
his,lia
his,lian
her,sia
her,siaj
her,sian
our,nia
our,nian
their,ilia
their,ilian
what,kio
what,kion
why,kial
how,kiel
who,kiu
who,kiuj
who,kiun
who,kiujn
when,kiam
where,kie
where,kien
whose,kies
what kind of,kia
what kind of,kian
which,kio
upon,sur
there,tie
all,cxio
even,ecx
rather,pli
than,ol
now,nun
right away,tuj
also,ankaux
too,ankaux
or,aux
yet,tamen
more,pli
sometime,iam
sometime,kelkfoje
some way,iel
somewhat,iom
somewhere,iel
some,kelkaj
some,ia
someone,iu
somebody,iu
somebody's,ies
somehow,iel
something,io
thus,tiel
one,iun
oneself,sin mem
most,plej
,da
every one,cxiu 
therefore,tial
so,tial
then,tiam
if,se
any,iu ajn
yes,jes
us,nia
would,
will,
wont,
does not,
do not,
did not,
